Name,datetime,Date,Time,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
LAGOS STATE,2024-07-02T00:00:00,02/07/2024,00:00:00,27.1,29.6,22.7,76.9,0.2,100,rain,0,0,25.2,14.4,237.3,1013,99,24.1,0,0,0,10,"Rain, Overcast",rain,remote
LAGOS STATE,2024-07-02T01:00:00,02/07/2024,01:00:00,27.1,29.4,22.4,75.51,0,0,,0,0,26.3,14.8,235.6,1013,100,24.1,0,0,0,10,Overcast,cloudy,remote
LAGOS STATE,2024-07-02T02:00:00,02/07/2024,02:00:00,27.2,29.6,22.4,75.07,0,0,,0,0,26.3,15.5,244.1,1012,100,24.1,0,0,0,10,Overcast,cloudy,remote
LAGOS STATE,2024-07-02T03:00:00,02/07/2024,03:00:00,26.9,29.2,22.6,77.34,0,0,,0,0,28.1,16.2,253.7,1012,100,24.1,0,0,0,10,Overcast,cloudy,remote
LAGOS STATE,2024-07-02T04:00:00,02/07/2024,04:00:00,26.8,29,22.6,77.8,0,0,,0,0,28.1,15.1,257.6,1012,100,24.1,0,0,0,10,Overcast,cloudy,remote
LAGOS STATE,2024-07-02T05:00:00,02/07/2024,05:00:00,26.6,26.6,22.6,78.72,0,0,,0,0,24.8,12.2,266.9,1012,100,23.9,0,0,0,10,Overcast,cloudy,remote
LAGOS STATE,2024-07-02T06:00:00,02/07/2024,06:00:00,26.3,26.3,22.8,81.1,0.8,100,rain,0,0,20.9,9.7,280.4,1012,99.7,24.1,0,0,0,10,"Rain, Overcast",rain,remote
LAGOS STATE,2024-07-02T07:00:00,02/07/2024,07:00:00,26.1,26.1,22.9,82.57,0.2,100,rain,0,0,23.4,10.8,263.7,1013,83.8,24.1,3,0,0,10,"Rain, Partially cloudy",rain,remote
LAGOS STATE,2024-07-02T08:00:00,02/07/2024,08:00:00,27,29.5,22.9,78.3,0,0,,0,0,24.5,13.7,265.8,1013,93.1,24.1,112,0.4,1,10,Overcast,cloudy,remote
LAGOS STATE,2024-07-02T09:00:00,02/07/2024,09:00:00,28.1,31.1,22.7,72.53,0.3,100,rain,0,0,22,15.8,263.3,1014,94.3,24.1,281,1,3,30,"Rain, Overcast",rain,remote
LAGOS STATE,2024-07-02T10:00:00,02/07/2024,10:00:00,29.1,32.3,22.4,67.2,0.4,100,rain,0,0,21.6,18.4,254.4,1014,93.6,24.1,432,1.6,4,30,"Rain, Overcast",rain,remote
LAGOS STATE,2024-07-02T11:00:00,02/07/2024,11:00:00,29.6,33,22.4,65.29,0.5,100,rain,0,0,21.2,19.1,246.5,1013,98.9,24.1,598,2.2,6,30,"Rain, Overcast",rain,remote
LAGOS STATE,2024-07-02T12:00:00,02/07/2024,12:00:00,28,33.4,26,88.91,1.3,100,rain,0,0,22.7,16.6,260,1014,88,5,514,1.9,5,30,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-02T13:00:00,02/07/2024,13:00:00,28,32.6,25,83.78,0.4,100,rain,0,0,24.8,11.2,240,1013,88,5,881,3.2,9,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-02T14:00:00,02/07/2024,14:00:00,27,30.5,25,88.83,0,0,,0,0,24.8,9.4,250,1012,88,5,812,2.9,8,10,Partially cloudy,partly-cloudy-day,DNMM
LAGOS STATE,2024-07-02T15:00:00,02/07/2024,15:00:00,27,30.5,25,88.83,0.5,100,rain,0,0,25.2,18.4,190,1012,88,5,553,2,6,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-02T16:00:00,02/07/2024,16:00:00,25,25,24,94.19,0.2,100,rain,0,0,24.8,14.8,210,1012,88,3,509,1.8,5,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-02T17:00:00,02/07/2024,17:00:00,24,24,24,100,0.1,100,rain,0,0,23.8,9.4,140,1011,88,3,373,1.3,4,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-02T18:00:00,02/07/2024,18:00:00,26,26,25,94.23,0.1,100,rain,0,0,24.5,5.4,160,1011,88,4,225,0.8,2,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-02T19:00:00,02/07/2024,19:00:00,26,26,25,94.23,0.1,100,rain,0,0,25.6,7.6,190,1012,50,5,54,0.2,1,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-02T20:00:00,02/07/2024,20:00:00,26,26,25,94.23,0,0,,0,0,25.6,9.4,240,1013,25,5,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-02T21:00:00,02/07/2024,21:00:00,26,26,25,94.23,0,0,,0,0,27,7.6,280,1013,25,6,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-02T22:00:00,02/07/2024,22:00:00,26,26,25,94.23,0.1,100,rain,0,0,25.9,13,220,1014,25,6,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-02T23:00:00,02/07/2024,23:00:00,26,26,25,94.23,0,0,,0,0,27,11.2,220,1014,25,6,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-03T00:00:00,03/07/2024,00:00:00,26,26,25,94.23,0,0,,0,0,26.3,7.6,190,1014,25,7,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-03T01:00:00,03/07/2024,01:00:00,26.7,26.7,22.7,78.73,0.1,100,rain,0,0,25.2,16.2,230.2,1012,100,24.1,0,0,0,10,"Rain, Overcast",rain,remote
LAGOS STATE,2024-07-03T02:00:00,03/07/2024,02:00:00,26.4,26.4,22.8,80.62,0.2,100,rain,0,0,25.2,16.2,230.5,1012,100,24.1,0,0,0,10,"Rain, Overcast",rain,remote
LAGOS STATE,2024-07-03T03:00:00,03/07/2024,03:00:00,26,26,25,94.23,0,0,rain,0,0,24.8,9.4,250,1012,25,7,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-03T04:00:00,03/07/2024,04:00:00,26,26,25,94.23,0.2,100,rain,0,0,24.8,5.4,180,1011,50,6,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T05:00:00,03/07/2024,05:00:00,25,25,25,100,0.8,100,rain,0,0,26.3,18.4,190,1011,88,2,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T06:00:00,03/07/2024,06:00:00,24,24,24,100,2.4,100,rain,0,0,27.7,16.6,210,1012,88,3,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T07:00:00,03/07/2024,07:00:00,23,23,23,100,2.7,100,rain,0,0,30.2,5.4,200,1013,88,2,1,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T08:00:00,03/07/2024,08:00:00,24,24,23,94.15,0,0,rain,0,0,29.5,5.4,240,1014,88,4,50,0.2,1,10,Partially cloudy,partly-cloudy-day,DNMM
LAGOS STATE,2024-07-03T09:00:00,03/07/2024,09:00:00,24,24,24,100,1.8,100,rain,0,0,29.5,7.6,290,1015,50,4,218,0.8,2,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T10:00:00,03/07/2024,10:00:00,26.9,29.2,22.6,77.34,1.7,100,rain,0,0,30.2,21.2,247.5,1014,76.2,5.6,362,1.3,4,10,"Rain, Partially cloudy",rain,remote
LAGOS STATE,2024-07-03T11:00:00,03/07/2024,11:00:00,27.2,29.6,22.5,75.53,1.9,100,rain,0,0,31,22,249.8,1013,100,5.9,454,1.6,5,10,"Rain, Overcast",rain,remote
LAGOS STATE,2024-07-03T12:00:00,03/07/2024,12:00:00,25,25,24,94.19,1.8,100,rain,0,0,32.4,13,180,1015,50,4,210,0.8,2,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T13:00:00,03/07/2024,13:00:00,25.5,25.5,23,86.07,1.6,100,rain,0,0,32,18.4,247.8,1013,100,7,156,0.6,2,10,"Rain, Overcast",rain,remote
LAGOS STATE,2024-07-03T14:00:00,03/07/2024,14:00:00,25.3,25.3,22.9,86.58,0,0,rain,0,0,31.3,17.6,243.9,1012,100,7.1,85,0.3,1,10,Overcast,cloudy,remote
LAGOS STATE,2024-07-03T15:00:00,03/07/2024,15:00:00,25,25,25,100,1.6,100,rain,0,0,28.8,13,170,1012,50,4,61,0.2,1,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T16:00:00,03/07/2024,16:00:00,25,25,25,100,1.5,100,rain,0,0,28.8,20.5,240,1012,50,6,33,0.1,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T17:00:00,03/07/2024,17:00:00,25,25,25,100,2,100,rain,0,0,28.4,16.6,230,1012,50,7,17,0.1,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T18:00:00,03/07/2024,18:00:00,26,26,25,94.23,3.2,100,rain,0,0,27.4,11.2,230,1012,88,7,8,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T19:00:00,03/07/2024,19:00:00,25,25,25,100,3.9,100,rain,0,0,29.5,11.2,200,1013,88,8,2,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T20:00:00,03/07/2024,20:00:00,25,25,25,100,0,0,rain,0,0,30.6,5.4,190,1013,88,8,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-03T21:00:00,03/07/2024,21:00:00,25,25,25,100,5,100,rain,0,0,29.2,7.6,220,1014,88,8,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-03T22:00:00,03/07/2024,22:00:00,24.1,24.1,23,93.58,2.6,100,rain,0,0,27.4,14,237,1014,100,14,0,0,0,10,"Rain, Overcast",rain,remote
LAGOS STATE,2024-07-03T23:00:00,03/07/2024,23:00:00,25,25,24,94.19,0.6,100,rain,0,0,28.4,0,0,1015,88,8,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T00:00:00,04/07/2024,00:00:00,25,25,24,94.19,0.2,100,rain,0,0,22.7,0,0,1015,25,8,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T01:00:00,04/07/2024,01:00:00,25,25,24,94.19,0.8,100,rain,0,0,20.9,3.6,285.3,1015,25,8,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T02:00:00,04/07/2024,02:00:00,25,25,24,94.19,0,0,rain,0,0,19.8,5.4,300,1014,25,8,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-04T03:00:00,04/07/2024,03:00:00,24,24,24,100,1.5,100,rain,0,0,21.2,7.6,310,1013,25,8,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T04:00:00,04/07/2024,04:00:00,24,24,23,94.15,0.6,100,rain,0,0,21.6,3.6,261.3,1014,25,8,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T05:00:00,04/07/2024,05:00:00,24,24,23,94.15,0.1,100,rain,0,0,25.2,3.6,254.1,1013,25,7,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T06:00:00,04/07/2024,06:00:00,24,24,23,94.15,0,0,,0,0,24.8,3.6,250.2,1014,25,6,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-04T07:00:00,04/07/2024,07:00:00,24,24,24,100,0.2,100,rain,0,0,21.6,3.6,260.7,1014,25,5,1,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T08:00:00,04/07/2024,08:00:00,24,24,24,100,0,0,,0,0,23.8,5.4,310,1015,25,5,12,0,0,10,Partially cloudy,partly-cloudy-day,DNMM
LAGOS STATE,2024-07-04T09:00:00,04/07/2024,09:00:00,26,26,25,94.23,0,0,,0,0,23,13,320,1015,25,5,37,0.1,0,10,Partially cloudy,partly-cloudy-day,DNMM
LAGOS STATE,2024-07-04T10:00:00,04/07/2024,10:00:00,27,30.5,25,88.83,0.1,100,rain,0,0,20.5,13,230,1015,50,8,398,1.4,4,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T11:00:00,04/07/2024,11:00:00,28,32.6,25,83.78,0.7,100,rain,0,0,19.4,22.3,230,1015,50,8,690,2.5,7,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T12:00:00,04/07/2024,12:00:00,29,34.4,25,79.05,0.5,100,rain,0,0,20.9,13,270,1015,50,8,736,2.6,7,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T13:00:00,04/07/2024,13:00:00,29,34.4,25,79.05,0.8,100,rain,0,0,21.6,13,200,1014,88,10,750,2.7,8,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T14:00:00,04/07/2024,14:00:00,30,36.1,25,74.62,0,0,,0,0,22.7,14.8,180,1014,88,10,375,1.3,4,10,Partially cloudy,partly-cloudy-day,DNMM
LAGOS STATE,2024-07-04T15:00:00,04/07/2024,15:00:00,29,34.4,25,79.05,0.1,100,rain,0,0,23,11.2,160,1013,88,10,430,1.5,4,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T16:00:00,04/07/2024,16:00:00,29,34.4,25,79.05,0.2,100,rain,0,0,24.1,13,220,1013,88,10,542,2,5,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-04T17:00:00,04/07/2024,17:00:00,29,34.4,25,79.05,0,0,,0,0,25.9,7.6,210,1013,50,10,423,1.5,4,10,Partially cloudy,partly-cloudy-day,DNMM
LAGOS STATE,2024-07-04T18:00:00,04/07/2024,18:00:00,28,31.8,24,78.91,0,0,,0,0,26.3,7.6,180,1012,50,10,267,1,3,10,Partially cloudy,partly-cloudy-day,DNMM
LAGOS STATE,2024-07-04T19:00:00,04/07/2024,19:00:00,28,31.8,24,78.91,0,0,,0,0,24.8,7.6,220,1013,50,10,69,0.2,1,10,Partially cloudy,partly-cloudy-day,DNMM
LAGOS STATE,2024-07-04T20:00:00,04/07/2024,20:00:00,28,31.8,24,78.91,0,0,,0,0,24.1,9.4,210,1014,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-04T21:00:00,04/07/2024,21:00:00,28,31.8,24,78.91,0,0,,0,0,22,7.6,200,1014,50,10,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-04T22:00:00,04/07/2024,22:00:00,28,31.8,24,78.91,0,0,,0,0,21.6,5.4,200,1015,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-04T23:00:00,04/07/2024,23:00:00,27,30,24,83.67,0,0,,0,0,20.2,3.6,241.5,1015,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-05T00:00:00,05/07/2024,00:00:00,27,30,24,83.67,0,0,,0,0,20.2,3.6,243.3,1015,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-05T01:00:00,05/07/2024,01:00:00,25.7,25.7,22.6,83.02,0,0,,0,0,18.4,9.7,250.7,1014,100,24.1,0,0,0,10,Overcast,cloudy,remote
LAGOS STATE,2024-07-05T02:00:00,05/07/2024,02:00:00,25.5,25.5,22.6,84.01,0,0,,0,0,18.7,9.7,258.4,1014,97.9,24.1,0,0,0,10,Overcast,cloudy,remote
LAGOS STATE,2024-07-05T03:00:00,05/07/2024,03:00:00,25.2,25.2,22.7,86.05,0.1,100,rain,0,0,16.2,8.3,278.4,1013,58.6,24.1,0,0,0,10,"Rain, Partially cloudy",rain,remote
LAGOS STATE,2024-07-05T04:00:00,05/07/2024,04:00:00,27,30,24,83.67,0,0,rain,0,0,16.6,3.6,283.1,1014,25,8,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-05T05:00:00,05/07/2024,05:00:00,26,26,24,88.75,0.1,100,rain,0,0,15.5,3.6,284.8,1014,25,8,0,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-05T06:00:00,05/07/2024,06:00:00,25,25,24,94.19,0,0,,0,0,15.8,5.4,310,1014,25,8,0,0,0,10,Partially cloudy,partly-cloudy-night,DNMM
LAGOS STATE,2024-07-05T07:00:00,05/07/2024,07:00:00,24,24,23,94.15,0.1,100,rain,0,0,14.8,5.4,210,1014,50,4,4,0,0,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-05T08:00:00,05/07/2024,08:00:00,25,25,24,94.19,0,0,,0,0,13.7,3.6,294.4,1015,25,4,88,0.3,1,10,Partially cloudy,partly-cloudy-day,DNMM
LAGOS STATE,2024-07-05T09:00:00,05/07/2024,09:00:00,26,26,25,94.23,0,0,,0,0,18.4,9.4,290,1016,50,4,323,1.2,3,10,Partially cloudy,partly-cloudy-day,DNMM
LAGOS STATE,2024-07-05T10:00:00,05/07/2024,10:00:00,27,30.5,25,88.83,0,0,,0,0,15.8,9.4,270,1016,50,6,558,2,6,10,Partially cloudy,partly-cloudy-day,DNMM
LAGOS STATE,2024-07-05T11:00:00,05/07/2024,11:00:00,28,32.6,25,83.78,0.1,100,rain,0,0,15.8,7.6,260,1016,50,8,729,2.6,7,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-05T12:00:00,05/07/2024,12:00:00,29,34.4,25,79.05,0.2,100,rain,0,0,15.5,11.2,270,1015,50,8,829,3,8,10,"Rain, Partially cloudy",rain,DNMM
LAGOS STATE,2024-07-05T13:00:00,05/07/2024,13:00:00,30.4,33.5,21.7,59.75,0.3,48.4,rain,0,0,15.5,15.8,227.5,1013,81.3,16.7,584,2.1,6,10,"Rain, Partially cloudy",rain,
LAGOS STATE,2024-07-05T14:00:00,05/07/2024,14:00:00,30.3,33.6,22,61.2,0.2,87.1,rain,0,0,16.9,18.4,231.7,1012,99,24.1,619,2.2,6,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-05T15:00:00,05/07/2024,15:00:00,30.8,34,21.8,58.76,0.1,87.1,rain,0,0,16.9,18.4,229.4,1012,72.6,24.1,740,2.7,7,10,"Rain, Partially cloudy",rain,
LAGOS STATE,2024-07-05T16:00:00,05/07/2024,16:00:00,30.2,33.3,21.8,60.81,0.1,87.1,rain,0,0,16.9,18.4,229.2,1011,74.4,24.1,507,1.8,5,10,"Rain, Partially cloudy",rain,
LAGOS STATE,2024-07-05T17:00:00,05/07/2024,17:00:00,29.5,32.4,21.8,63.31,0,87.1,rain,0,0,17.6,19.4,225.2,1011,99.3,24.1,403,1.5,4,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-05T18:00:00,05/07/2024,18:00:00,28.4,31,21.8,67.47,0,87.1,rain,0,0,19.8,18,222.4,1011,100,24.1,175,0.6,2,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-05T19:00:00,05/07/2024,19:00:00,27.6,29.9,21.9,71.13,0,87.1,rain,0,0,21.6,16.6,224.1,1012,100,24.1,34,0.1,0,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-05T20:00:00,05/07/2024,20:00:00,27.4,29.8,22.2,73.3,0,32.3,,0,0,22,16.2,223.9,1012,100,24.1,0,0,0,10,Overcast,cloudy,
LAGOS STATE,2024-07-05T21:00:00,05/07/2024,21:00:00,27.3,29.7,22.4,74.63,0,32.3,,0,0,22.7,16.6,223.8,1013,100,24.1,0,0,0,10,Overcast,cloudy,
LAGOS STATE,2024-07-05T22:00:00,05/07/2024,22:00:00,26.4,26.4,22.9,81.11,1,32.3,rain,0,0,23,14.8,215.1,1014,100,10.3,0,0,0,10,Overcast,cloudy,
LAGOS STATE,2024-07-05T23:00:00,05/07/2024,23:00:00,26.1,26.1,23.2,84.08,1,32.3,rain,0,0,25.9,15.8,212.6,1014,100,9.5,0,0,0,10,Overcast,cloudy,
LAGOS STATE,2024-07-06T00:00:00,06/07/2024,00:00:00,26.1,26.1,23.3,84.59,0.6,32.3,rain,0,0,25.2,15.1,213.8,1014,95.9,19.8,0,0,0,10,Overcast,cloudy,
LAGOS STATE,2024-07-06T01:00:00,06/07/2024,01:00:00,25.8,25.8,23.2,85.59,0.5,32.3,rain,0,0,26.6,15.5,221.7,1013,91,7.2,0,0,0,10,Overcast,cloudy,
LAGOS STATE,2024-07-06T02:00:00,06/07/2024,02:00:00,25.6,25.6,23.1,86.08,0.9,54.8,rain,0,0,24.8,14,227.1,1013,100,19.4,0,0,0,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-06T03:00:00,06/07/2024,03:00:00,25.3,25.3,23,87.1,1.2,54.8,rain,0,0,26.6,15.1,227.8,1013,100,5.8,0,0,0,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-06T04:00:00,06/07/2024,04:00:00,25.3,25.3,23,87.1,1.2,54.8,rain,0,0,26.6,14.8,235.2,1012,100,24.1,0,0,0,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-06T05:00:00,06/07/2024,05:00:00,25.4,25.4,23,86.59,0.5,54.8,rain,0,0,26.6,14.8,237.1,1013,100,23.9,0,0,0,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-06T06:00:00,06/07/2024,06:00:00,25.4,25.4,23,86.59,0.2,54.8,rain,0,0,25.9,14,234.1,1013,100,24.1,0,0,0,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-06T07:00:00,06/07/2024,07:00:00,25.3,25.3,23,87.1,0.3,54.8,rain,0,0,24.8,14,230.7,1013,100,24.1,2,0,0,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-06T08:00:00,06/07/2024,08:00:00,25.6,25.6,23,85.57,0.1,77.4,rain,0,0,24.5,14.4,229.8,1014,100,24.1,39,0.1,0,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-06T09:00:00,06/07/2024,09:00:00,25.7,25.7,23,85.06,0.1,77.4,rain,0,0,23,14,234,1014,100,24.1,59,0.2,1,10,"Rain, Overcast",rain,
LAGOS STATE,2024-07-06T10:00:00,06/07/2024,10:00:00,25.6,25.6,22.7,84.02,0,77.4,rain,0,0,22,13.7,237.4,1014,100,24.1,54,0.2,1,10,"Rain, Overcast",rain,
